COD;NOMBRE;OFICINA;Actual;OBSERVACIÓN;TIPO;SUPERVISOR RESPONSABLE;NIVEL DE RIESGO INUNDACION;SENSIBILIDAD A CORTES ELECTRICOS;Ciudad;Provincia;Riesgo;Alimentador;Reserva Glns;Autonomia Max horas;ID;Nivel;PUNTO DE ATENCIÓN;Riesgo Oleaje;UNICOS;Name;Concatenado;Ubicación;Latitud;Longitud;Ponderacion Inundaciones;Inundaciones;Cortes
402;ATM - ARCA PORTOVIEJO;PORTOVIEJO;NO;ABIERTO;OFICINA;José Mendoza;Crítico (Se inunda punto de atención);Media (Cortes esporádicos);Portoviejo;Manabí;;Generador;;;Crítico (Se inunda punto de atención)Media (Cortes esporádicos);N1 Crítico;ARCA PORTOVIEJO;NO;ATM - ARCA JUAN TANCA MARENGO;402-ATM - ARCA PORTOVIEJO;(398-ATM - ARCA JUAN TANCA MARENGO);-1.073357, -80.444453;-1.073357;-80.444453;0;1;2
A0037;ARCA PORTOVIEJO;ARCA PORTOVIEJO;SI;ABIERTO;VENTANILLA DE EMPRESA;José Mendoza;Crítico (Se inunda punto de atención);Media (Cortes esporádicos);Portoviejo;Manabí;;Generador;;;Crítico (Se inunda punto de atención)Media (Cortes esporádicos);N1 Crítico;ARCA PORTOVIEJO;NO;ATM - ARCA QUITO CALDERON;A0037-ARCA PORTOVIEJO;(396-ATM - ARCA QUITO CALDERON);-1.073357, -80.444453;-1.073357;-80.444453;0;1;2
422;ATM - ARCA QUEVEDO;QUEVEDO;NO;ABIERTO;OFICINA;Fabián Burgos;Bajo / Seguro;Alta (Corte inmediato);Quevedo;Los Ríos;;Generador;;;Bajo / SeguroAlta (Corte inmediato);N2 Alto;ARCA QUEVEDO;NO;ATM - ARCA SANTO DOMINGO;422-ATM - ARCA QUEVEDO;(397-ATM - ARCA SANTO DOMINGO);-0.97913, -79.440004;-0.97913;-79.440004;0;3;3
A0038;ARCA QUEVEDO;ARCA QUEVEDO;NO;ABIERTO;VENTANILLA DE EMPRESA;Fabián Burgos;Bajo / Seguro;Alta (Corte inmediato);Quevedo;Los Ríos;;Generador;;;Bajo / SeguroAlta (Corte inmediato);N2 Alto;ARCA QUEVEDO;NO;ATM - ARCA VIA A DAULE;A0038-ARCA QUEVEDO;(395-ATM - ARCA VIA A DAULE);-0.97913, -79.440004;-0.97913;-79.440004;0;3;3
A0036;ARCA VIA PASAJE MACHALA;ARCA VIA PASAJE MACHALA;NO;ABIERTO;VENTANILLA DE EMPRESA;Washington Reyes;Medio (Se inunda la calle);Alta (Corte inmediato);Machala;El Oro;;Generador;;;Medio (Se inunda la calle)Alta (Corte inmediato);N1 Crítico;ARCA VIA PASAJE MACHALA;NO;ATM - AVICOLA FERNANDEZ , AV. ISI;A0036-ARCA VIA PASAJE MACHALA;(249-ATM - AVICOLA FERNANDEZ , AV. ISI);-3.274044, -79.935957;-3.274044;-79.935957;0;4;3
496;ATM - AVÍCOLA FERNANDEZ BABAHOYO;MATRIZ-TEVCOL;NO;ABIERTO;ISLA;Fabián Burgos;Medio (Se inunda la calle);Alta (Corte inmediato);Babahoyo;Los Ríos;;Generador;;;Medio (Se inunda la calle)Alta (Corte inmediato);N1 Crítico;ATM - AVÍCOLA FERNANDEZ BABAHOYO;NO;ATM - C.CONVENCION LISTO;496-ATM - AVÍCOLA FERNANDEZ BABAHOYO;(453-ATM - C.CONVENCION LISTO);-1.799965, -79.531699;-1.799965;-79.531699;0;4;3
65;ATM - C.C. PASEO LIBERTAD;MATRIZ-TEVCOL;NO;ABIERTO;ISLA;Gerardo Pulgarín;Bajo / Seguro;Media (Cortes esporádicos);La Libertad;Santa Elena;;Generador;;;Bajo / SeguroMedia (Cortes esporádicos);N3 Moderado;ATM - C.C. PASEO LIBERTAD;OLEAJE;ATM - CD DIFARE;65-ATM - C.C. PASEO LIBERTAD;(489-ATM - CD DIFARE);-2.2259149907482, -80.921130024467;-2.225914991;-80.92113002;0;3;2
64;ATM - C.C. PASEO MANTA;MATRIZ-TEVCOL;NO;ABIERTO;ISLA;José Mendoza;Bajo / Seguro;Media (Cortes esporádicos);Manta;Manabí;;Generador;;;Bajo / SeguroMedia (Cortes esporádicos);N3 Moderado;ATM - C.C. PASEO MANTA;NO;ATM - CD EL ROSADO;64-ATM - C.C. PASEO MANTA;(456-ATM - CD EL ROSADO);-0.96635436268373, -80.705825555278;-0.966354363;-80.70582556;0;3;2
66;ATM - C.C. PASEO PORTOVIEJO MI CO;MATRIZ-TEVCOL;NO;ABIERTO;ISLA;José Mendoza;Medio (Se inunda la calle);Media (Cortes esporádicos);Portoviejo;Manabí;;Generador;;;Medio (Se inunda la calle)Media (Cortes esporádicos);N2 Alto;ATM - C.C. PASEO PORTOVIEJO MI CO;NO;ATM - CENTRO PLAYAS;66-ATM - C.C. PASEO PORTOVIEJO MI CO;(250-ATM - CENTRO PLAYAS);-1.0611303680668, -80.465528737434;-1.061130368;-80.46552874;0;4;2
77;ATM - OF. BABAHOYO;BABAHOYO;NO;ABIERTO;OFICINA;Fabián Burgos;Medio (Se inunda la calle);Alta (Corte inmediato);Babahoyo;Los Ríos;;Generador;;;Medio (Se inunda la calle)Alta (Corte inmediato);N1 Crítico;BABAHOYO;NO;DOMINGO COMIN;77-ATM - OF. BABAHOYO;(33-ATM - OF. DOMINGO COMIN) +  (A0053-DOMINGO COMIN);-1.8004036332543, -79.535966546678;-1.800403633;-79.53596655;0;4;3
